"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"03/28/2023","55","PM2.5","Coconut Creek","12-011-5005","AQS","7","37","24","55","33"
"03/29/2023","61","PM2.5","Coconut Creek","12-011-5005","AQS","7","50","26","61","28"
"03/30/2023","58","Ozone","Lamstein Lane","12-099-0022","AQS","7","58","22","51","36"
"03/31/2023","50","Ozone","Rosenstiel","12-086-0027","AQS","6","50","26","41","30"
"04/01/2023","52","PM2.5","Coconut Creek","12-011-5005","AQS","6","35","26","52","37"
"04/02/2023","52","PM2.5","Coconut Creek","12-011-5005","AQS","7","33","20","52","20"
"04/03/2023","49","PM2.5","Coconut Creek","12-011-5005","AQS","7","34","22","49","30"
"04/04/2023","42","PM2.5","Coconut Creek","12-011-5005","AQS","7","30","21","42","23"
"04/05/2023","39","PM2.5","Coconut Creek","12-011-5005","AQS","6","25","25","39","25"
"04/06/2023","41","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","23","23","41","23"
"04/07/2023","42","PM2.5","Coconut Creek","12-011-5005","AQS","6","33","21","42","16"
"04/08/2023","44","PM2.5","Coconut Creek","12-011-5005","AQS","6","32","21","44","24"
"04/09/2023","43","PM2.5","Coconut Creek","12-011-5005","AQS","6","35","18","43","30"
"04/10/2023","42","Ozone","Lantana Preserve","12-099-0021","AQS","5","42","18","33","25"
"04/11/2023","48","PM2.5","Coconut Creek","12-011-5005","AQS","3","43","26","48","15"
"04/12/2023","44","PM2.5","Pompano Highlands","12-011-2003","AQS","6","41","22","44","25"
"04/13/2023","50","PM2.5","Coconut Creek","12-011-5005","AQS","7","36","20","50","31"
"04/14/2023","55","PM2.5","Coconut Creek","12-011-5005","AQS","9","34","22","55","30"
"04/15/2023","53","PM2.5","Coconut Creek","12-011-5005","AQS","8","32","21","53","27"
"04/16/2023","38","PM2.5","Coconut Creek","12-011-5005","AQS","7","28","17","38","26"
"04/17/2023","44","NO2","PENNSUCO","12-086-0019","AQS","7","36","14","29","44"
"04/18/2023","67","Ozone","Rosenstiel","12-086-0027","AQS","6","67","23","42","48"
"04/19/2023","64","Ozone","Rosenstiel","12-086-0027","AQS","6","64","23","43","42"
"04/20/2023","49","Ozone","Rosenstiel","12-086-0027","AQS","6","49","25","45","42"
"04/21/2023","44","PM2.5","Coconut Creek","12-011-5005","AQS","7","39","21","44","34"
"04/22/2023","49","Ozone","Pompano Highlands","12-011-2003","AQS","7","49","19","44","36"
"04/23/2023","54","PM2.5","Coconut Creek","12-011-5005","AQS","7","44","20","54","26"
"04/24/2023","40","PM2.5","Coconut Creek","12-011-5005","AQS","7","40","20","40","34"
"04/25/2023","41","Ozone","Daniela Banu NCORE","12-011-0034","AQS","6","41","19","33","37"
"04/26/2023","44","Ozone","Lamstein Lane","12-099-0022","AQS","8","44","18","38","37"
"04/27/2023","39","PM2.5","Coconut Creek","12-011-5005","AQS","8","31","21","39","38"
"04/28/2023","55","PM2.5","Coconut Creek","12-011-5005","AQS","7","34","27","55","32"
"04/29/2023","60","PM2.5","Coconut Creek","12-011-5005","AQS","7","29","27","60","20"
"04/30/2023","50","PM2.5","Coconut Creek","12-011-5005","AQS","6","47","23","50","18"
"05/01/2023","87","Ozone","Rosenstiel","12-086-0027","AQS","6","87","28","57","32"
