time,windspeed_10m_max (mp/h),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2022-06-11,8.4,21.41,4.20
2022-06-12,8.6,24.71,5.23
2022-06-13,8.8,24.81,5.05
2022-06-14,9.0,24.20,4.77
2022-06-15,8.9,24.61,5.16
2022-06-16,8.1,24.25,5.10
2022-06-17,10.1,23.49,4.74
2022-06-18,7.5,24.60,5.09
2022-06-19,8.0,22.31,4.81
2022-06-20,7.6,21.98,4.53
2022-06-21,15.1,24.00,5.04
2022-06-22,12.6,24.38,5.31
2022-06-23,9.9,26.54,5.67
2022-06-24,9.9,25.80,5.63
2022-06-25,7.1,21.93,4.54
2022-06-26,7.9,20.48,4.17
2022-06-27,11.1,24.44,4.91
2022-06-28,9.7,24.09,4.85
2022-06-29,7.7,24.46,4.92
2022-06-30,10.7,24.18,5.18
2022-07-01,11.4,25.98,5.66
2022-07-02,11.2,24.12,5.36
2022-07-03,10.7,26.26,6.01
2022-07-04,11.7,24.45,5.51
2022-07-05,11.1,21.90,4.35
2022-07-06,10.0,23.48,4.89
2022-07-07,11.1,25.29,5.31
2022-07-08,11.4,24.19,5.28
2022-07-09,12.3,24.71,4.99
2022-07-10,9.6,23.69,5.29
2022-07-11,11.2,24.62,5.21
2022-07-12,9.8,25.25,5.40
2022-07-13,10.8,23.09,4.88
2022-07-14,10.1,24.45,5.20
2022-07-15,13.4,18.96,3.85
2022-07-16,11.2,16.31,3.32
2022-07-17,14.3,19.02,4.06
2022-07-18,12.0,24.62,5.39
2022-07-19,9.8,26.22,5.56
2022-07-20,9.1,25.27,5.56
2022-07-21,9.9,24.83,5.57
2022-07-22,11.8,21.21,4.59
2022-07-23,13.1,24.23,5.13
2022-07-24,11.8,24.59,5.65
2022-07-25,14.4,23.44,5.57
2022-07-26,12.2,17.36,3.88
2022-07-27,11.7,24.07,5.30
2022-07-28,9.7,27.07,5.85
2022-07-29,11.5,26.51,5.88
2022-07-30,12.8,25.89,6.24
2022-07-31,12.8,24.77,5.82
2022-08-01,11.1,25.18,5.51
2022-08-02,10.2,23.04,4.98
2022-08-03,9.8,24.24,5.37
2022-08-04,10.1,23.34,5.01
2022-08-05,11.2,20.34,4.51
2022-08-06,14.3,22.10,5.32
2022-08-07,13.0,17.93,3.97
2022-08-08,11.1,21.86,4.79
2022-08-09,12.8,21.50,4.89
2022-08-10,12.4,23.27,5.35
2022-08-11,10.4,23.45,5.24
2022-08-12,9.0,23.99,5.33
2022-08-13,8.7,19.71,4.13
2022-08-14,6.9,18.81,3.92
2022-08-15,6.5,20.74,4.19
2022-08-16,10.5,22.78,4.72
2022-08-17,8.3,21.91,4.67
2022-08-18,8.7,23.22,4.93
2022-08-19,9.1,23.93,5.04
