,temperature_2m,relativehumidity_2m,dewpoint_2m,precipitation,windspeed_10m,shortwave_radiation,time_local,year,month,day
788,,,,,,,20,2015,02,02
789,,,,,,,21,2015,02,02
790,,,,,,,22,2015,02,02
791,,,,,,,23,2015,02,02
792,,,,,,,00,2015,02,03
793,,,,,,,01,2015,02,03
794,,,,,,,02,2015,02,03
795,,,,,,,03,2015,02,03
796,,,,,,,04,2015,02,03
797,,,,,,,05,2015,02,03
798,,,,,,,06,2015,02,03
799,,,,,,,07,2015,02,03
800,,,,,,,08,2015,02,03
801,,,,,,,09,2015,02,03
802,,,,,,,10,2015,02,03
803,,,,,,,11,2015,02,03
804,,,,,,,12,2015,02,03
805,,,,,,,13,2015,02,03
